consulta,categoria,respuesta,respuesta_compuesta,respuestas_compuestas
¿Cuáles son los requisitos para graduarse?,requisitos,"Los requisitos para graduación incluyen: haber aprobado todas las materias del plan de estudios, cumplir con el servicio social, acreditar el nivel de inglés requerido por tu carrera, no tener adeudos en biblioteca o finanzas, y completar el proceso de titulación elegido.","Con respecto a tu pregunta sobre cuáles son los requisitos para graduarse,, Los requisitos para graduación incluyen: haber aprobado todas las materias del plan de estudios, cumplir con el servicio social, acreditar el nivel de inglés requerido por tu carrera, no tener adeudos en biblioteca o finanzas, y completar el proceso de titulación elegido.","Con respecto a tu pregunta sobre cuáles son los requisitos para graduarse,, Los requisitos para graduación incluyen: haber aprobado todas las materias del plan de estudios, cumplir con el servicio social, acreditar el nivel de inglés requerido por tu carrera, no tener adeudos en biblioteca o finanzas, y completar el proceso de titulación elegido."
¿Qué nivel de inglés necesito?,requisitos,"El requisito de inglés varía según la carrera. En general, se requiere un nivel B1 del Marco Común Europeo. Puedes acreditarlo con un certificado oficial (TOEFL, Cambridge, etc.) o presentando un examen en nuestro centro de idiomas.","Lo que necesitas saber sobre nivel de inglés necesito es, El requisito de inglés varía según la carrera. En general, se requiere un nivel B1 del Marco Común Europeo. Puedes acreditarlo con un certificado oficial (TOEFL, Cambridge, etc.) o presentando un examen en nuestro centro de idiomas.","Lo que necesitas saber sobre nivel de inglés necesito es, El requisito de inglés varía según la carrera. En general, se requiere un nivel B1 del Marco Común Europeo. Puedes acreditarlo con un certificado oficial (TOEFL, Cambridge, etc.) o presentando un examen en nuestro centro de idiomas."
¿Cómo hago mi servicio social?,requisitos,"Para iniciar tu servicio social debes haber cubierto el 70% de créditos de tu carrera. Acude al departamento de vinculación para conocer las plazas disponibles, selecciona una opción, registra tu solicitud y cumple 480 horas de servicio durante un periodo mínimo de 6 meses.","Para hago mi servicio social, Para iniciar tu servicio social debes haber cubierto el 70% de créditos de tu carrera. Acude al departamento de vinculación para conocer las plazas disponibles, selecciona una opción, registra tu solicitud y cumple 480 horas de servicio durante un periodo mínimo de 6 meses.","Para mi servicio social, Para iniciar tu servicio social debes haber cubierto el 70% de créditos de tu carrera. Acude al departamento de vinculación para conocer las plazas disponibles, selecciona una opción, registra tu solicitud y cumple 480 horas de servicio durante un periodo mínimo de 6 meses."
¿Cuántos créditos necesito para titularme?,requisitos,"Necesitas completar 100% de los créditos establecidos en tu plan de estudios. Para carreras de licenciatura son generalmente 300 créditos, pero varía según el programa académico. Puedes consultar tu avance de créditos en el portal estudiantil.","El valor relacionado con  créditos necesito para titularme es, Necesitas completar 100% de los créditos establecidos en tu plan de estudios. Para carreras de licenciatura son generalmente 300 créditos, pero varía según el programa académico. Puedes consultar tu avance de créditos en el portal estudiantil.","El valor relacionado con  créditos necesito para titularme es, Necesitas completar 100% de los créditos establecidos en tu plan de estudios. Para carreras de licenciatura son generalmente 300 créditos, pero varía según el programa académico. Puedes consultar tu avance de créditos en el portal estudiantil."
¿Qué opciones de titulación existen?,requisitos,"Las opciones de titulación incluyen: tesis, tesina, proyecto de investigación, promedio sobresaliente (9.0 o superior), examen general de conocimientos, estudios de posgrado y experiencia profesional comprobada. Cada opción tiene requisitos específicos que puedes consultar en la coordinación de titulación.","Lo que necesitas saber sobre opciones de titulación existen es, Las opciones de titulación incluyen: tesis, tesina, proyecto de investigación, promedio sobresaliente (9.0 o superior), examen general de conocimientos, estudios de posgrado y experiencia profesional comprobada. Cada opción tiene requisitos específicos que puedes consultar en la coordinación de titulación.","Lo que necesitas saber sobre opciones de titulación existen es, Las opciones de titulación incluyen: tesis, tesina, proyecto de investigación, promedio sobresaliente (9.0 o superior), examen general de conocimientos, estudios de posgrado y experiencia profesional comprobada. Cada opción tiene requisitos específicos que puedes consultar en la coordinación de titulación."
¿Necesito realizar prácticas profesionales?,requisitos,"Sí, las prácticas profesionales son obligatorias para todas las carreras y debes completar un mínimo de 240 horas. Puedes iniciarlas después de cubrir el 60% de los créditos de tu plan de estudios. El departamento de vinculación te orientará sobre el proceso.","Lo que necesitas es, Sí, las prácticas profesionales son obligatorias para todas las carreras y debes completar un mínimo de 240 horas. Puedes iniciarlas después de cubrir el 60% de los créditos de tu plan de estudios. El departamento de vinculación te orientará sobre el proceso.","Lo que necesitas es, Sí, las prácticas profesionales son obligatorias para todas las carreras y debes completar un mínimo de 240 horas. Puedes iniciarlas después de cubrir el 60% de los créditos de tu plan de estudios. El departamento de vinculación te orientará sobre el proceso."
¿Cuántas materias puedo reprobar?,requisitos,"El reglamento académico permite reprobar hasta 3 materias por semestre sin causar baja temporal. Sin embargo, deberás recursarlas en el siguiente periodo que se ofrezcan. Si repruebas la misma materia 3 veces consecutivas, causarás baja definitiva del programa.","Con respecto a tu pregunta sobre cuántas materias puedo reprobar,, El reglamento académico permite reprobar hasta 3 materias por semestre sin causar baja temporal. Sin embargo, deberás recursarlas en el siguiente periodo que se ofrezcan. Si repruebas la misma materia 3 veces consecutivas, causarás baja definitiva del programa.","Con respecto a tu pregunta sobre cuántas materias puedo reprobar,, El reglamento académico permite reprobar hasta 3 materias por semestre sin causar baja temporal. Sin embargo, deberás recursarlas en el siguiente periodo que se ofrezcan. Si repruebas la misma materia 3 veces consecutivas, causarás baja definitiva del programa."
¿Qué promedio necesito para mantener mi beca?,requisitos,"Para mantener cualquier tipo de beca institucional debes conservar un promedio mínimo de 8.5 en cada periodo, no reprobar materias y cumplir con el 90% de asistencia a clases. La evaluación se realiza al final de cada semestre.","Lo que necesitas saber sobre promedio necesito para mantener mi beca es, Para mantener cualquier tipo de beca institucional debes conservar un promedio mínimo de 8.5 en cada periodo, no reprobar materias y cumplir con el 90% de asistencia a clases. La evaluación se realiza al final de cada semestre.","Lo que necesitas saber sobre promedio necesito para mantener mi beca es, Para mantener cualquier tipo de beca institucional debes conservar un promedio mínimo de 8.5 en cada periodo, no reprobar materias y cumplir con el 90% de asistencia a clases. La evaluación se realiza al final de cada semestre."
¿Cuánto tiempo tengo para terminar mi carrera?,requisitos,"El tiempo máximo para concluir tus estudios es de 1.5 veces la duración normal del programa. Por ejemplo, si tu carrera es de 8 semestres, tienes hasta 12 semestres para completarla. Después de este plazo, deberás solicitar una extensión especial sujeta a evaluación.","El valor relacionado con tiempo tengo para terminar mi carrera es, El tiempo máximo para concluir tus estudios es de 1.5 veces la duración normal del programa. Por ejemplo, si tu carrera es de 8 semestres, tienes hasta 12 semestres para completarla. Después de este plazo, deberás solicitar una extensión especial sujeta a evaluación.","El valor relacionado con tiempo tengo para terminar mi carrera es, El tiempo máximo para concluir tus estudios es de 1.5 veces la duración normal del programa. Por ejemplo, si tu carrera es de 8 semestres, tienes hasta 12 semestres para completarla. Después de este plazo, deberás solicitar una extensión especial sujeta a evaluación."
¿Qué certificaciones adicionales necesito para mi carrera?,requisitos,"Además del inglés, algunas carreras requieren certificaciones específicas. Ingeniería requiere certificación en AutoCAD, Contaduría en software contable, Sistemas en desarrollo web y Diseño en Adobe Creative Suite. Consulta los requisitos específicos de tu programa en la coordinación.","Lo que necesitas saber sobre certificaciones adicionales necesito para mi carrera es, Además del inglés, algunas carreras requieren certificaciones específicas. Ingeniería requiere certificación en AutoCAD, Contaduría en software contable, Sistemas en desarrollo web y Diseño en Adobe Creative Suite. Consulta los requisitos específicos de tu programa en la coordinación.","Lo que necesitas saber sobre certificaciones adicionales necesito para mi carrera es, Además del inglés, algunas carreras requieren certificaciones específicas. Ingeniería requiere certificación en AutoCAD, Contaduría en software contable, Sistemas en desarrollo web y Diseño en Adobe Creative Suite. Consulta los requisitos específicos de tu programa en la coordinación."
¿Necesito presentar un examen general de egreso?,requisitos,"Sí, todas las carreras requieren presentar el Examen General de Egreso (EGEL) como requisito de titulación. Este examen evalúa los conocimientos y habilidades adquiridos durante tu formación. No es necesario aprobarlo, pero sí presentarlo para completar tu proceso de titulación.","Lo que necesitas es, Sí, todas las carreras requieren presentar el Examen General de Egreso (EGEL) como requisito de titulación. Este examen evalúa los conocimientos y habilidades adquiridos durante tu formación. No es necesario aprobarlo, pero sí presentarlo para completar tu proceso de titulación.","Lo que necesitas es, Sí, todas las carreras requieren presentar el Examen General de Egreso (EGEL) como requisito de titulación. Este examen evalúa los conocimientos y habilidades adquiridos durante tu formación. No es necesario aprobarlo, pero sí presentarlo para completar tu proceso de titulación."
¿Qué documentos necesito para mi ceremonia de graduación?,requisitos,"Para participar en la ceremonia de graduación necesitas: carta de liberación de servicio social, constancia de no adeudo en biblioteca, constancia de no adeudo financiero, certificado de inglés, historial académico completo y realizar el pago de la toga y birrete.","Lo que necesitas saber sobre documentos necesito para mi ceremonia de graduación es, Para participar en la ceremonia de graduación necesitas: carta de liberación de servicio social, constancia de no adeudo en biblioteca, constancia de no adeudo financiero, certificado de inglés, historial académico completo y realizar el pago de la toga y birrete.","Lo que necesitas saber sobre documentos necesito para mi ceremonia de graduación es, Para participar en la ceremonia de graduación necesitas: carta de liberación de servicio social, constancia de no adeudo en biblioteca, constancia de no adeudo financiero, certificado de inglés, historial académico completo y realizar el pago de la toga y birrete."
¿Qué sucede si me equivoco en el pago de la matrícula?,matriculas,"Debes acudir al departamento de finanzas con el comprobante de pago y una carta explicando el error. Si procede, se hará el ajuste correspondiente o se emitirá una nota de crédito.","Lo que necesitas saber sobre sucede si me equivoco en el pago de la matrícula es, Debes acudir al departamento de finanzas con el comprobante de pago y una carta explicando el error. Si procede, se hará el ajuste correspondiente o se emitirá una nota de crédito.","Lo que necesitas saber sobre sucede si me equivoco en el pago de la matrícula es, Debes acudir al departamento de finanzas con el comprobante de pago y una carta explicando el error. Si procede, se hará el ajuste correspondiente o se emitirá una nota de crédito."
¿Puedo obtener una constancia de inscripción anticipada?,matriculas,"Sí, puedes solicitar una constancia provisional de inscripción en servicios escolares una vez confirmadas tus materias, aunque aún no hayas pagado.","Con respecto a tu pregunta sobre puedo obtener una constancia de inscripción anticipada,, Sí, puedes solicitar una constancia provisional de inscripción en servicios escolares una vez confirmadas tus materias, aunque aún no hayas pagado.","Con respecto a tu pregunta sobre puedo obtener una constancia de inscripción anticipada,, Sí, puedes solicitar una constancia provisional de inscripción en servicios escolares una vez confirmadas tus materias, aunque aún no hayas pagado."
¿Es obligatorio pagar el seguro estudiantil?,matriculas,"Sí, el seguro estudiantil es obligatorio y está incluido en el costo de inscripción. Solo puedes exentarlo si presentas un seguro privado equivalente con cobertura completa.","Con respecto a tu pregunta sobre es obligatorio pagar el seguro estudiantil,, Sí, el seguro estudiantil es obligatorio y está incluido en el costo de inscripción. Solo puedes exentarlo si presentas un seguro privado equivalente con cobertura completa.","Con respecto a tu pregunta sobre es obligatorio pagar el seguro estudiantil,, Sí, el seguro estudiantil es obligatorio y está incluido en el costo de inscripción. Solo puedes exentarlo si presentas un seguro privado equivalente con cobertura completa."
¿Puedo hacer la inscripción en dos etapas?,matriculas,"Sí, puedes seleccionar materias primero y pagar después, pero tienes un límite de 48 horas para completar el proceso. De lo contrario, tu selección será cancelada.","Con respecto a tu pregunta sobre puedo hacer la inscripción en dos etapas,, Sí, puedes seleccionar materias primero y pagar después, pero tienes un límite de 48 horas para completar el proceso. De lo contrario, tu selección será cancelada.","Con respecto a tu pregunta sobre puedo hacer la inscripción en dos etapas,, Sí, puedes seleccionar materias primero y pagar después, pero tienes un límite de 48 horas para completar el proceso. De lo contrario, tu selección será cancelada."
¿Qué hago si se cancela una materia por falta de alumnos?,matriculas,Puedes cambiar esa materia por otra disponible o solicitar la devolución del costo correspondiente si ya habías pagado. Acude a tu coordinación para orientación.,"Lo que necesitas saber sobre hago si se cancela una materia por falta de alumnos es, Puedes cambiar esa materia por otra disponible o solicitar la devolución del costo correspondiente si ya habías pagado. Acude a tu coordinación para orientación.","Lo que necesitas saber sobre hago si se cancela una materia por falta de alumnos es, Puedes cambiar esa materia por otra disponible o solicitar la devolución del costo correspondiente si ya habías pagado. Acude a tu coordinación para orientación."
¿Hay espacios disponibles para estudiar en grupo?,instalaciones,"Sí, contamos con salas de estudio grupal en la biblioteca y en el edificio D. Puedes reservarlas con al menos 24 horas de anticipación.","Con respecto a tu pregunta sobre hay espacios disponibles para estudiar en grupo,, Sí, contamos con salas de estudio grupal en la biblioteca y en el edificio D. Puedes reservarlas con al menos 24 horas de anticipación.","Con respecto a tu pregunta sobre hay espacios disponibles para estudiar en grupo,, Sí, contamos con salas de estudio grupal en la biblioteca y en el edificio D. Puedes reservarlas con al menos 24 horas de anticipación."
¿Dónde puedo dejar mi bicicleta durante las clases?,instalaciones,Tenemos un área de parqueadero para bicicletas al lado del edificio A. Es gratuito y vigilado durante el horario académico.,"Puedes hacerlo en el lugar donde, Tenemos un área de parqueadero para bicicletas al lado del edificio A. Es gratuito y vigilado durante el horario académico.","Puedes realizarlo en el lugar donde, Tenemos un área de parqueadero para bicicletas al lado del edificio A. Es gratuito y vigilado durante el horario académico."
¿Qué servicios ofrece la enfermería del campus?,instalaciones,"La enfermería ofrece primeros auxilios, control de signos vitales, atención básica y canalización a clínicas externas si es necesario.","Lo que necesitas saber sobre servicios ofrece la enfermería del campus es, La enfermería ofrece primeros auxilios, control de signos vitales, atención básica y canalización a clínicas externas si es necesario.","Lo que necesitas saber sobre servicios ofrece la enfermería del campus es, La enfermería ofrece primeros auxilios, control de signos vitales, atención básica y canalización a clínicas externas si es necesario."
¿Se puede acceder al campus los fines de semana?,instalaciones,"Sí, el campus abre los sábados hasta las 3:00 PM. Los domingos solo se permite acceso si hay actividades programadas y autorizadas.","Con respecto a tu pregunta sobre se puede acceder al campus los fines de semana,, Sí, el campus abre los sábados hasta las 3:00 PM. Los domingos solo se permite acceso si hay actividades programadas y autorizadas.","Con respecto a tu pregunta sobre se puede acceder al campus los fines de semana,, Sí, el campus abre los sábados hasta las 3:00 PM. Los domingos solo se permite acceso si hay actividades programadas y autorizadas."
¿Dónde se reportan daños en las aulas?,instalaciones,"Debes reportar cualquier daño en las aulas al personal de servicios generales o llenar el formulario en línea en el portal estudiantil, sección 'Mantenimiento'.","Puedes hacerlo en el lugar donde, Debes reportar cualquier daño en las aulas al personal de servicios generales o llenar el formulario en línea en el portal estudiantil, sección 'Mantenimiento'.","Puedes realizarlo en el lugar donde, Debes reportar cualquier daño en las aulas al personal de servicios generales o llenar el formulario en línea en el portal estudiantil, sección 'Mantenimiento'."
¿Puedo cambiar una clase si tengo traslape de horario?,horarios,"Sí, puedes solicitar cambio de grupo en tu coordinación académica si hay evidencia de traslape. El cambio está sujeto a disponibilidad.","Con respecto a tu pregunta sobre puedo cambiar una clase si tengo traslape de horario,, Sí, puedes solicitar cambio de grupo en tu coordinación académica si hay evidencia de traslape. El cambio está sujeto a disponibilidad.","Con respecto a tu pregunta sobre puedo cambiar una clase si tengo traslape de horario,, Sí, puedes solicitar cambio de grupo en tu coordinación académica si hay evidencia de traslape. El cambio está sujeto a disponibilidad."
¿Cuál es la duración de los recesos entre clases?,horarios,Los recesos entre clases son de 10 minutos para permitir el cambio de aula y descanso breve entre sesiones.,"La la duración de los recesos entre clases es, Los recesos entre clases son de 10 minutos para permitir el cambio de aula y descanso breve entre sesiones.","La la duración de los recesos entre clases es, Los recesos entre clases son de 10 minutos para permitir el cambio de aula y descanso breve entre sesiones."
¿Qué días hay actividades extracurriculares?,horarios,"Las actividades extracurriculares se desarrollan principalmente los miércoles por la tarde y sábados por la mañana, según la programación semestral.","Lo que necesitas saber sobre días hay actividades extracurriculares es, Las actividades extracurriculares se desarrollan principalmente los miércoles por la tarde y sábados por la mañana, según la programación semestral.","Lo que necesitas saber sobre días hay actividades extracurriculares es, Las actividades extracurriculares se desarrollan principalmente los miércoles por la tarde y sábados por la mañana, según la programación semestral."
¿A qué hora se publican los horarios oficiales?,horarios,"Los horarios oficiales se publican una semana antes del inicio de clases en el portal estudiantil, sección 'Mi horario'.","Con respecto a tu pregunta sobre a qué hora se publican los horarios oficiales,, Los horarios oficiales se publican una semana antes del inicio de clases en el portal estudiantil, sección 'Mi horario'.","Con respecto a tu pregunta sobre a qué hora se publican los horarios oficiales,, Los horarios oficiales se publican una semana antes del inicio de clases en el portal estudiantil, sección 'Mi horario'."
¿Qué hago si mi clase fue reprogramada sin aviso?,horarios,Debes notificar a tu coordinación académica para verificar el motivo del cambio y recibir el horario actualizado.,"Lo que necesitas saber sobre hago si mi clase fue reprogramada sin aviso es, Debes notificar a tu coordinación académica para verificar el motivo del cambio y recibir el horario actualizado.","Lo que necesitas saber sobre hago si mi clase fue reprogramada sin aviso es, Debes notificar a tu coordinación académica para verificar el motivo del cambio y recibir el horario actualizado."
¿Cómo solicito una beca de manutención?,tramites,"Debes llenar el formulario de becas en el portal estudiantil, adjuntar tu comprobante de ingresos y esperar la evaluación socioeconómica.","Para solicito una beca de manutención, Debes llenar el formulario de becas en el portal estudiantil, adjuntar tu comprobante de ingresos y esperar la evaluación socioeconómica.","Cómo solicito una beca de manutención, Debes llenar el formulario de becas en el portal estudiantil, adjuntar tu comprobante de ingresos y esperar la evaluación socioeconómica."
¿Dónde puedo renovar mi credencial estudiantil?,tramites,"Puedes renovar tu credencial en servicios escolares. Si está vencida, deberás presentar tu historial académico y pagar una cuota de reposición.","Puedes hacerlo en el lugar donde, Puedes renovar tu credencial en servicios escolares. Si está vencida, deberás presentar tu historial académico y pagar una cuota de reposición.","Puedes realizarlo en el lugar donde, Puedes renovar tu credencial en servicios escolares. Si está vencida, deberás presentar tu historial académico y pagar una cuota de reposición."
¿Cómo tramito mi carta de presentación para prácticas?,tramites,Solicítala en el departamento de vinculación con al menos una semana de anticipación. Necesitas tener definida la empresa y horario de prácticas.,"Para tramito mi carta de presentación para prácticas, Solicítala en el departamento de vinculación con al menos una semana de anticipación. Necesitas tener definida la empresa y horario de prácticas.","Cómo tramito mi carta de presentación para prácticas, Solicítala en el departamento de vinculación con al menos una semana de anticipación. Necesitas tener definida la empresa y horario de prácticas."
¿Puedo solicitar mis documentos académicos por correo?,tramites,"Sí, puedes solicitarlos por correo si vives en otra ciudad. Debes enviar una carta firmada, copia de tu identificación y el comprobante de pago.","Con respecto a tu pregunta sobre puedo solicitar mis documentos académicos por correo,, Sí, puedes solicitarlos por correo si vives en otra ciudad. Debes enviar una carta firmada, copia de tu identificación y el comprobante de pago.","Con respecto a tu pregunta sobre puedo solicitar mis documentos académicos por correo,, Sí, puedes solicitarlos por correo si vives en otra ciudad. Debes enviar una carta firmada, copia de tu identificación y el comprobante de pago."
¿Dónde registro mi número de seguro social?,tramites,Debes registrar tu número de seguro social en servicios escolares o a través del portal estudiantil en la sección de datos personales.,"Puedes hacerlo en el lugar donde, Debes registrar tu número de seguro social en servicios escolares o a través del portal estudiantil en la sección de datos personales.","Puedes realizarlo en el lugar donde, Debes registrar tu número de seguro social en servicios escolares o a través del portal estudiantil en la sección de datos personales."
¿Es obligatorio el curso de inducción para titularme?,requisitos,"Sí, el curso de inducción a la titulación es obligatorio para todos los estudiantes y debe completarse antes de iniciar el proceso formal.","Con respecto a tu pregunta sobre es obligatorio el curso de inducción para titularme,, Sí, el curso de inducción a la titulación es obligatorio para todos los estudiantes y debe completarse antes de iniciar el proceso formal.","Con respecto a tu pregunta sobre es obligatorio el curso de inducción para titularme,, Sí, el curso de inducción a la titulación es obligatorio para todos los estudiantes y debe completarse antes de iniciar el proceso formal."
¿Qué documentos necesito para el trámite de titulación?,requisitos,"Necesitas: acta de nacimiento, certificado total, historial académico, CURP, comprobante de servicio social y fotografías tamaño título.","Lo que necesitas saber sobre documentos necesito para el trámite de titulación es, Necesitas: acta de nacimiento, certificado total, historial académico, CURP, comprobante de servicio social y fotografías tamaño título.","Lo que necesitas saber sobre documentos necesito para el trámite de titulación es, Necesitas: acta de nacimiento, certificado total, historial académico, CURP, comprobante de servicio social y fotografías tamaño título."
¿Qué pasa si no cumplo con el servicio social?,requisitos,No podrás titularte hasta cumplir las 480 horas de servicio social. Este requisito es obligatorio para cualquier modalidad de titulación.,"Lo que necesitas saber sobre pasa si no cumplo con el servicio social es, No podrás titularte hasta cumplir las 480 horas de servicio social. Este requisito es obligatorio para cualquier modalidad de titulación.","Lo que necesitas saber sobre pasa si no cumplo con el servicio social es, No podrás titularte hasta cumplir las 480 horas de servicio social. Este requisito es obligatorio para cualquier modalidad de titulación."
¿Puedo titularme si repruebo una materia?,requisitos,"No, debes aprobar todas las materias del plan de estudios antes de iniciar cualquier modalidad de titulación.","Con respecto a tu pregunta sobre puedo titularme si repruebo una materia,, No, debes aprobar todas las materias del plan de estudios antes de iniciar cualquier modalidad de titulación.","Con respecto a tu pregunta sobre puedo titularme si repruebo una materia,, No, debes aprobar todas las materias del plan de estudios antes de iniciar cualquier modalidad de titulación."
¿Cuándo debo entregar mi proyecto de tesis?,requisitos,El proyecto de tesis debe entregarse al menos dos meses antes de la fecha estimada de titulación. La revisión y dictamen pueden tardar hasta cuatro semanas.,"El momento indicado para debo entregar mi proyecto de tesis es, El proyecto de tesis debe entregarse al menos dos meses antes de la fecha estimada de titulación. La revisión y dictamen pueden tardar hasta cuatro semanas.","El momento indicado para debo entregar mi proyecto de tesis es, El proyecto de tesis debe entregarse al menos dos meses antes de la fecha estimada de titulación. La revisión y dictamen pueden tardar hasta cuatro semanas."
¿Cómo puedo revisar mis calificaciones finales?,calificaciones,Puedes revisar tus calificaciones finales ingresando al portal estudiantil en la sección 'Historial académico'. Ahí encontrarás tus notas por semestre y materia.,"Para puedo revisar mis calificaciones finales, Puedes revisar tus calificaciones finales ingresando al portal estudiantil en la sección 'Historial académico'. Ahí encontrarás tus notas por semestre y materia.","Para revisar mis calificaciones finales, Puedes revisar tus calificaciones finales ingresando al portal estudiantil en la sección 'Historial académico'. Ahí encontrarás tus notas por semestre y materia."
¿Cuándo publican las notas del semestre?,calificaciones,Las calificaciones del semestre se publican a más tardar una semana después del periodo de exámenes finales. Revisa el portal estudiantil para fechas exactas.,"El momento indicado para publican las notas del semestre es, Las calificaciones del semestre se publican a más tardar una semana después del periodo de exámenes finales. Revisa el portal estudiantil para fechas exactas.","El momento indicado para publican las notas del semestre es, Las calificaciones del semestre se publican a más tardar una semana después del periodo de exámenes finales. Revisa el portal estudiantil para fechas exactas."
¿Puedo solicitar revisión de calificación?,calificaciones,"Sí, puedes solicitar una revisión formal dentro de los primeros 3 días hábiles después de publicada la calificación. Acude al departamento académico con una carta explicativa.","Con respecto a tu pregunta sobre puedo solicitar revisión de calificación,, Sí, puedes solicitar una revisión formal dentro de los primeros 3 días hábiles después de publicada la calificación. Acude al departamento académico con una carta explicativa.","Con respecto a tu pregunta sobre puedo solicitar revisión de calificación,, Sí, puedes solicitar una revisión formal dentro de los primeros 3 días hábiles después de publicada la calificación. Acude al departamento académico con una carta explicativa."
¿Qué hago si no aparece mi nota en el sistema?,calificaciones,"Primero verifica con tu profesor si ya entregó las notas. Si la nota fue enviada y aún no aparece, contacta a servicios escolares con tu número de matrícula.","Lo que necesitas saber sobre hago si no aparece mi nota en el sistema es, Primero verifica con tu profesor si ya entregó las notas. Si la nota fue enviada y aún no aparece, contacta a servicios escolares con tu número de matrícula.","Lo que necesitas saber sobre hago si no aparece mi nota en el sistema es, Primero verifica con tu profesor si ya entregó las notas. Si la nota fue enviada y aún no aparece, contacta a servicios escolares con tu número de matrícula."
¿Cómo sé si aprobé una materia?,calificaciones,Debes obtener una calificación mínima de 3.0 para aprobar una materia. Consulta tus notas en el portal estudiantil o tu historial académico.,"Para sé si aprobé una materia, Debes obtener una calificación mínima de 3.0 para aprobar una materia. Consulta tus notas en el portal estudiantil o tu historial académico.","Cómo sé si aprobé una materia, Debes obtener una calificación mínima de 3.0 para aprobar una materia. Consulta tus notas en el portal estudiantil o tu historial académico."
¿Puedo repetir una materia aprobada para subir nota?,calificaciones,"No, las materias aprobadas no pueden repetirse. Solo puedes repetir aquellas que hayas reprobado o no cursado.","Con respecto a tu pregunta sobre puedo repetir una materia aprobada para subir nota,, No, las materias aprobadas no pueden repetirse. Solo puedes repetir aquellas que hayas reprobado o no cursado.","Con respecto a tu pregunta sobre puedo repetir una materia aprobada para subir nota,, No, las materias aprobadas no pueden repetirse. Solo puedes repetir aquellas que hayas reprobado o no cursado."
¿Qué promedio necesito para estar en cuadro de honor?,calificaciones,"Debes tener un promedio igual o superior a 4.5, sin materias reprobadas y con al menos 90% de asistencia durante el semestre.","Lo que necesitas saber sobre promedio necesito para estar en cuadro de honor es, Debes tener un promedio igual o superior a 4.5, sin materias reprobadas y con al menos 90% de asistencia durante el semestre.","Lo que necesitas saber sobre promedio necesito para estar en cuadro de honor es, Debes tener un promedio igual o superior a 4.5, sin materias reprobadas y con al menos 90% de asistencia durante el semestre."
¿Dónde veo mis calificaciones parciales?,calificaciones,Las calificaciones parciales están disponibles en el aula virtual de cada materia o en el portal estudiantil bajo la opción 'Evaluaciones parciales'.,"Puedes hacerlo en el lugar donde, Las calificaciones parciales están disponibles en el aula virtual de cada materia o en el portal estudiantil bajo la opción 'Evaluaciones parciales'.","Puedes realizarlo en el lugar donde, Las calificaciones parciales están disponibles en el aula virtual de cada materia o en el portal estudiantil bajo la opción 'Evaluaciones parciales'."
¿Qué pasa si repruebo una materia dos veces?,calificaciones,"Si repruebas una materia dos veces, deberás presentar una justificación académica para cursarla nuevamente. Tres reprobaciones generan baja definitiva.","Lo que necesitas saber sobre pasa si repruebo una materia dos veces es, Si repruebas una materia dos veces, deberás presentar una justificación académica para cursarla nuevamente. Tres reprobaciones generan baja definitiva.","Lo que necesitas saber sobre pasa si repruebo una materia dos veces es, Si repruebas una materia dos veces, deberás presentar una justificación académica para cursarla nuevamente. Tres reprobaciones generan baja definitiva."
¿Cómo calcular mi promedio general?,calificaciones,Tu promedio general es el promedio ponderado de todas tus materias cursadas. Puedes verlo en tu historial académico dentro del portal estudiantil.,"Para calcular mi promedio general, Tu promedio general es el promedio ponderado de todas tus materias cursadas. Puedes verlo en tu historial académico dentro del portal estudiantil.","Cómo calcular mi promedio general, Tu promedio general es el promedio ponderado de todas tus materias cursadas. Puedes verlo en tu historial académico dentro del portal estudiantil."
¿Me afectan las materias optativas en el promedio?,calificaciones,"Sí, las materias optativas también cuentan en el promedio semestral y general, a menos que se indique lo contrario en el plan de estudios.","Con respecto a tu pregunta sobre me afectan las materias optativas en el promedio,, Sí, las materias optativas también cuentan en el promedio semestral y general, a menos que se indique lo contrario en el plan de estudios.","Con respecto a tu pregunta sobre me afectan las materias optativas en el promedio,, Sí, las materias optativas también cuentan en el promedio semestral y general, a menos que se indique lo contrario en el plan de estudios."
¿Qué nota necesito para conservar mi beca?,calificaciones,"Debes mantener un promedio igual o superior a 4.0 cada semestre, además de no reprobar ninguna asignatura.","Lo que necesitas saber sobre nota necesito para conservar mi beca es, Debes mantener un promedio igual o superior a 4.0 cada semestre, además de no reprobar ninguna asignatura.","Lo que necesitas saber sobre nota necesito para conservar mi beca es, Debes mantener un promedio igual o superior a 4.0 cada semestre, además de no reprobar ninguna asignatura."
¿Puedo ver las observaciones del profesor sobre mi evaluación?,calificaciones,"Sí, algunos profesores incluyen observaciones en el aula virtual o pueden darlas a conocer en horario de atención o por correo institucional.","Con respecto a tu pregunta sobre puedo ver las observaciones del profesor sobre mi evaluación,, Sí, algunos profesores incluyen observaciones en el aula virtual o pueden darlas a conocer en horario de atención o por correo institucional.","Con respecto a tu pregunta sobre puedo ver las observaciones del profesor sobre mi evaluación,, Sí, algunos profesores incluyen observaciones en el aula virtual o pueden darlas a conocer en horario de atención o por correo institucional."
