consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Puedo obtener una constancia de inscripción anticipada?,matriculas,"Sí, puedes solicitar una constancia provisional de inscripción en servicios escolares una vez confirmadas tus materias, aunque aún no hayas pagado.","¿Puedo obtener una constancia de inscripción anticipada? Sí, puedes solicitar una constancia provisional de inscripción en servicios escolares una vez confirmadas tus materias, aunque aún no hayas pagado.",¿Puedo obtener una constancia de inscripción anticipada? matriculas
¿Es obligatorio pagar el seguro estudiantil?,matriculas,"Sí, el seguro estudiantil es obligatorio y está incluido en el costo de inscripción. Solo puedes exentarlo si presentas un seguro privado equivalente con cobertura completa.","¿Es obligatorio pagar el seguro estudiantil? Sí, el seguro estudiantil es obligatorio y está incluido en el costo de inscripción. Solo puedes exentarlo si presentas un seguro privado equivalente con cobertura completa.",¿Es obligatorio pagar el seguro estudiantil? matriculas
¿Puedo hacer la inscripción en dos etapas?,matriculas,"Sí, puedes seleccionar materias primero y pagar después, pero tienes un límite de 48 horas para completar el proceso. De lo contrario, tu selección será cancelada.","¿Puedo hacer la inscripción en dos etapas? Sí, puedes seleccionar materias primero y pagar después, pero tienes un límite de 48 horas para completar el proceso. De lo contrario, tu selección será cancelada.",¿Puedo hacer la inscripción en dos etapas? matriculas
¿Qué hago si se cancela una materia por falta de alumnos?,matriculas,Puedes cambiar esa materia por otra disponible o solicitar la devolución del costo correspondiente si ya habías pagado. Acude a tu coordinación para orientación.,¿Qué hago si se cancela una materia por falta de alumnos? Puedes cambiar esa materia por otra disponible o solicitar la devolución del costo correspondiente si ya habías pagado. Acude a tu coordinación para orientación.,¿Qué hago si se cancela una materia por falta de alumnos? matriculas
¿Hay espacios disponibles para estudiar en grupo?,instalaciones,"Sí, contamos con salas de estudio grupal en la biblioteca y en el edificio D. Puedes reservarlas con al menos 24 horas de anticipación.","¿Hay espacios disponibles para estudiar en grupo? Sí, contamos con salas de estudio grupal en la biblioteca y en el edificio D. Puedes reservarlas con al menos 24 horas de anticipación.",¿Hay espacios disponibles para estudiar en grupo? instalaciones
¿Dónde puedo dejar mi bicicleta durante las clases?,instalaciones,Tenemos un área de parqueadero para bicicletas al lado del edificio A. Es gratuito y vigilado durante el horario académico.,¿Dónde puedo dejar mi bicicleta durante las clases? Tenemos un área de parqueadero para bicicletas al lado del edificio A. Es gratuito y vigilado durante el horario académico.,¿Dónde puedo dejar mi bicicleta durante las clases? instalaciones
¿Qué servicios ofrece la enfermería del campus?,instalaciones,"La enfermería ofrece primeros auxilios, control de signos vitales, atención básica y canalización a clínicas externas si es necesario.","¿Qué servicios ofrece la enfermería del campus? La enfermería ofrece primeros auxilios, control de signos vitales, atención básica y canalización a clínicas externas si es necesario.",¿Qué servicios ofrece la enfermería del campus? instalaciones
¿Se puede acceder al campus los fines de semana?,instalaciones,"Sí, el campus abre los sábados hasta las 3:00 PM. Los domingos solo se permite acceso si hay actividades programadas y autorizadas.","¿Se puede acceder al campus los fines de semana? Sí, el campus abre los sábados hasta las 3:00 PM. Los domingos solo se permite acceso si hay actividades programadas y autorizadas.",¿Se puede acceder al campus los fines de semana? instalaciones
¿Dónde se reportan daños en las aulas?,instalaciones,"Debes reportar cualquier daño en las aulas al personal de servicios generales o llenar el formulario en línea en el portal estudiantil, sección 'Mantenimiento'.","¿Dónde se reportan daños en las aulas? Debes reportar cualquier daño en las aulas al personal de servicios generales o llenar el formulario en línea en el portal estudiantil, sección 'Mantenimiento'.",¿Dónde se reportan daños en las aulas? instalaciones
¿Puedo cambiar una clase si tengo traslape de horario?,horarios,"Sí, puedes solicitar cambio de grupo en tu coordinación académica si hay evidencia de traslape. El cambio está sujeto a disponibilidad.","¿Puedo cambiar una clase si tengo traslape de horario? Sí, puedes solicitar cambio de grupo en tu coordinación académica si hay evidencia de traslape. El cambio está sujeto a disponibilidad.",¿Puedo cambiar una clase si tengo traslape de horario? horarios
¿Cuál es la duración de los recesos entre clases?,horarios,Los recesos entre clases son de 10 minutos para permitir el cambio de aula y descanso breve entre sesiones.,¿Cuál es la duración de los recesos entre clases? Los recesos entre clases son de 10 minutos para permitir el cambio de aula y descanso breve entre sesiones.,¿Cuál es la duración de los recesos entre clases? horarios
¿Qué días hay actividades extracurriculares?,horarios,"Las actividades extracurriculares se desarrollan principalmente los miércoles por la tarde y sábados por la mañana, según la programación semestral.","¿Qué días hay actividades extracurriculares? Las actividades extracurriculares se desarrollan principalmente los miércoles por la tarde y sábados por la mañana, según la programación semestral.",¿Qué días hay actividades extracurriculares? horarios
¿A qué hora se publican los horarios oficiales?,horarios,"Los horarios oficiales se publican una semana antes del inicio de clases en el portal estudiantil, sección 'Mi horario'.","¿A qué hora se publican los horarios oficiales? Los horarios oficiales se publican una semana antes del inicio de clases en el portal estudiantil, sección 'Mi horario'.",¿A qué hora se publican los horarios oficiales? horarios
¿Qué hago si mi clase fue reprogramada sin aviso?,horarios,Debes notificar a tu coordinación académica para verificar el motivo del cambio y recibir el horario actualizado.,¿Qué hago si mi clase fue reprogramada sin aviso? Debes notificar a tu coordinación académica para verificar el motivo del cambio y recibir el horario actualizado.,¿Qué hago si mi clase fue reprogramada sin aviso? horarios
¿Cómo solicito una beca de manutención?,tramites,"Debes llenar el formulario de becas en el portal estudiantil, adjuntar tu comprobante de ingresos y esperar la evaluación socioeconómica.","¿Cómo solicito una beca de manutención? Debes llenar el formulario de becas en el portal estudiantil, adjuntar tu comprobante de ingresos y esperar la evaluación socioeconómica.",¿Cómo solicito una beca de manutención? tramites
¿Dónde puedo renovar mi credencial estudiantil?,tramites,"Puedes renovar tu credencial en servicios escolares. Si está vencida, deberás presentar tu historial académico y pagar una cuota de reposición.","¿Dónde puedo renovar mi credencial estudiantil? Puedes renovar tu credencial en servicios escolares. Si está vencida, deberás presentar tu historial académico y pagar una cuota de reposición.",¿Dónde puedo renovar mi credencial estudiantil? tramites
¿Cómo tramito mi carta de presentación para prácticas?,tramites,Solicítala en el departamento de vinculación con al menos una semana de anticipación. Necesitas tener definida la empresa y horario de prácticas.,¿Cómo tramito mi carta de presentación para prácticas? Solicítala en el departamento de vinculación con al menos una semana de anticipación. Necesitas tener definida la empresa y horario de prácticas.,¿Cómo tramito mi carta de presentación para prácticas? tramites
¿Puedo solicitar mis documentos académicos por correo?,tramites,"Sí, puedes solicitarlos por correo si vives en otra ciudad. Debes enviar una carta firmada, copia de tu identificación y el comprobante de pago.","¿Puedo solicitar mis documentos académicos por correo? Sí, puedes solicitarlos por correo si vives en otra ciudad. Debes enviar una carta firmada, copia de tu identificación y el comprobante de pago.",¿Puedo solicitar mis documentos académicos por correo? tramites
¿Dónde registro mi número de seguro social?,tramites,Debes registrar tu número de seguro social en servicios escolares o a través del portal estudiantil en la sección de datos personales.,¿Dónde registro mi número de seguro social? Debes registrar tu número de seguro social en servicios escolares o a través del portal estudiantil en la sección de datos personales.,¿Dónde registro mi número de seguro social? tramites
¿Es obligatorio el curso de inducción para titularme?,requisitos,"Sí, el curso de inducción a la titulación es obligatorio para todos los estudiantes y debe completarse antes de iniciar el proceso formal.","¿Es obligatorio el curso de inducción para titularme? Sí, el curso de inducción a la titulación es obligatorio para todos los estudiantes y debe completarse antes de iniciar el proceso formal.",¿Es obligatorio el curso de inducción para titularme? requisitos
¿Qué documentos necesito para el trámite de titulación?,requisitos,"Necesitas: acta de nacimiento, certificado total, historial académico, CURP, comprobante de servicio social y fotografías tamaño título.","¿Qué documentos necesito para el trámite de titulación? Necesitas: acta de nacimiento, certificado total, historial académico, CURP, comprobante de servicio social y fotografías tamaño título.",¿Qué documentos necesito para el trámite de titulación? requisitos
¿Qué pasa si no cumplo con el servicio social?,requisitos,No podrás titularte hasta cumplir las 480 horas de servicio social. Este requisito es obligatorio para cualquier modalidad de titulación.,¿Qué pasa si no cumplo con el servicio social? No podrás titularte hasta cumplir las 480 horas de servicio social. Este requisito es obligatorio para cualquier modalidad de titulación.,¿Qué pasa si no cumplo con el servicio social? requisitos
¿Puedo titularme si repruebo una materia?,requisitos,"No, debes aprobar todas las materias del plan de estudios antes de iniciar cualquier modalidad de titulación.","¿Puedo titularme si repruebo una materia? No, debes aprobar todas las materias del plan de estudios antes de iniciar cualquier modalidad de titulación.",¿Puedo titularme si repruebo una materia? requisitos
¿Cuándo debo entregar mi proyecto de tesis?,requisitos,El proyecto de tesis debe entregarse al menos dos meses antes de la fecha estimada de titulación. La revisión y dictamen pueden tardar hasta cuatro semanas.,¿Cuándo debo entregar mi proyecto de tesis? El proyecto de tesis debe entregarse al menos dos meses antes de la fecha estimada de titulación. La revisión y dictamen pueden tardar hasta cuatro semanas.,¿Cuándo debo entregar mi proyecto de tesis? requisitos
¿Cómo puedo revisar mis calificaciones finales?,calificaciones,Puedes revisar tus calificaciones finales ingresando al portal estudiantil en la sección 'Historial académico'. Ahí encontrarás tus notas por semestre y materia.,¿Cómo puedo revisar mis calificaciones finales? Puedes revisar tus calificaciones finales ingresando al portal estudiantil en la sección 'Historial académico'. Ahí encontrarás tus notas por semestre y materia.,¿Cómo puedo revisar mis calificaciones finales? calificaciones
¿Cuándo publican las notas del semestre?,calificaciones,Las calificaciones del semestre se publican a más tardar una semana después del periodo de exámenes finales. Revisa el portal estudiantil para fechas exactas.,¿Cuándo publican las notas del semestre? Las calificaciones del semestre se publican a más tardar una semana después del periodo de exámenes finales. Revisa el portal estudiantil para fechas exactas.,¿Cuándo publican las notas del semestre? calificaciones
¿Puedo solicitar revisión de calificación?,calificaciones,"Sí, puedes solicitar una revisión formal dentro de los primeros 3 días hábiles después de publicada la calificación. Acude al departamento académico con una carta explicativa.","¿Puedo solicitar revisión de calificación? Sí, puedes solicitar una revisión formal dentro de los primeros 3 días hábiles después de publicada la calificación. Acude al departamento académico con una carta explicativa.",¿Puedo solicitar revisión de calificación? calificaciones
¿Qué hago si no aparece mi nota en el sistema?,calificaciones,"Primero verifica con tu profesor si ya entregó las notas. Si la nota fue enviada y aún no aparece, contacta a servicios escolares con tu número de matrícula.","¿Qué hago si no aparece mi nota en el sistema? Primero verifica con tu profesor si ya entregó las notas. Si la nota fue enviada y aún no aparece, contacta a servicios escolares con tu número de matrícula.",¿Qué hago si no aparece mi nota en el sistema? calificaciones
¿Cómo sé si aprobé una materia?,calificaciones,Debes obtener una calificación mínima de 3.0 para aprobar una materia. Consulta tus notas en el portal estudiantil o tu historial académico.,¿Cómo sé si aprobé una materia? Debes obtener una calificación mínima de 3.0 para aprobar una materia. Consulta tus notas en el portal estudiantil o tu historial académico.,¿Cómo sé si aprobé una materia? calificaciones
¿Puedo repetir una materia aprobada para subir nota?,calificaciones,"No, las materias aprobadas no pueden repetirse. Solo puedes repetir aquellas que hayas reprobado o no cursado.","¿Puedo repetir una materia aprobada para subir nota? No, las materias aprobadas no pueden repetirse. Solo puedes repetir aquellas que hayas reprobado o no cursado.",¿Puedo repetir una materia aprobada para subir nota? calificaciones
¿Qué promedio necesito para estar en cuadro de honor?,calificaciones,"Debes tener un promedio igual o superior a 4.5, sin materias reprobadas y con al menos 90% de asistencia durante el semestre.","¿Qué promedio necesito para estar en cuadro de honor? Debes tener un promedio igual o superior a 4.5, sin materias reprobadas y con al menos 90% de asistencia durante el semestre.",¿Qué promedio necesito para estar en cuadro de honor? calificaciones
¿Dónde veo mis calificaciones parciales?,calificaciones,Las calificaciones parciales están disponibles en el aula virtual de cada materia o en el portal estudiantil bajo la opción 'Evaluaciones parciales'.,¿Dónde veo mis calificaciones parciales? Las calificaciones parciales están disponibles en el aula virtual de cada materia o en el portal estudiantil bajo la opción 'Evaluaciones parciales'.,¿Dónde veo mis calificaciones parciales? calificaciones
¿Qué pasa si repruebo una materia dos veces?,calificaciones,"Si repruebas una materia dos veces, deberás presentar una justificación académica para cursarla nuevamente. Tres reprobaciones generan baja definitiva.","¿Qué pasa si repruebo una materia dos veces? Si repruebas una materia dos veces, deberás presentar una justificación académica para cursarla nuevamente. Tres reprobaciones generan baja definitiva.",¿Qué pasa si repruebo una materia dos veces? calificaciones
¿Cómo calcular mi promedio general?,calificaciones,Tu promedio general es el promedio ponderado de todas tus materias cursadas. Puedes verlo en tu historial académico dentro del portal estudiantil.,¿Cómo calcular mi promedio general? Tu promedio general es el promedio ponderado de todas tus materias cursadas. Puedes verlo en tu historial académico dentro del portal estudiantil.,¿Cómo calcular mi promedio general? calificaciones
¿Me afectan las materias optativas en el promedio?,calificaciones,"Sí, las materias optativas también cuentan en el promedio semestral y general, a menos que se indique lo contrario en el plan de estudios.","¿Me afectan las materias optativas en el promedio? Sí, las materias optativas también cuentan en el promedio semestral y general, a menos que se indique lo contrario en el plan de estudios.",¿Me afectan las materias optativas en el promedio? calificaciones
¿Qué nota necesito para conservar mi beca?,calificaciones,"Debes mantener un promedio igual o superior a 4.0 cada semestre, además de no reprobar ninguna asignatura.","¿Qué nota necesito para conservar mi beca? Debes mantener un promedio igual o superior a 4.0 cada semestre, además de no reprobar ninguna asignatura.",¿Qué nota necesito para conservar mi beca? calificaciones
¿Puedo ver las observaciones del profesor sobre mi evaluación?,calificaciones,"Sí, algunos profesores incluyen observaciones en el aula virtual o pueden darlas a conocer en horario de atención o por correo institucional.","¿Puedo ver las observaciones del profesor sobre mi evaluación? Sí, algunos profesores incluyen observaciones en el aula virtual o pueden darlas a conocer en horario de atención o por correo institucional.",¿Puedo ver las observaciones del profesor sobre mi evaluación? calificaciones
¿Las notas de recuperación reemplazan las anteriores?,calificaciones,"Sí, si apruebas un examen de recuperación, la nota final será actualizada en el sistema, aunque se registrará el intento anterior para control interno.","¿Las notas de recuperación reemplazan las anteriores? Sí, si apruebas un examen de recuperación, la nota final será actualizada en el sistema, aunque se registrará el intento anterior para control interno.",¿Las notas de recuperación reemplazan las anteriores? calificaciones
¿Dónde puedo descargar mi historial de calificaciones?,calificaciones,Puedes descargar tu historial académico con todas tus calificaciones desde el portal estudiantil en formato PDF desde la sección 'Documentos'.,¿Dónde puedo descargar mi historial de calificaciones? Puedes descargar tu historial académico con todas tus calificaciones desde el portal estudiantil en formato PDF desde la sección 'Documentos'.,¿Dónde puedo descargar mi historial de calificaciones? calificaciones
¿Qué pasa si no estoy de acuerdo con mi nota?,calificaciones,"Debes hablar primero con tu profesor. Si no llegas a un acuerdo, puedes elevar una solicitud de revisión ante el coordinador académico.","¿Qué pasa si no estoy de acuerdo con mi nota? Debes hablar primero con tu profesor. Si no llegas a un acuerdo, puedes elevar una solicitud de revisión ante el coordinador académico.",¿Qué pasa si no estoy de acuerdo con mi nota? calificaciones
¿Cómo verifico si una nota fue modificada?,calificaciones,Puedes consultar el historial de modificaciones de nota en el portal o preguntar directamente en servicios escolares.,¿Cómo verifico si una nota fue modificada? Puedes consultar el historial de modificaciones de nota en el portal o preguntar directamente en servicios escolares.,¿Cómo verifico si una nota fue modificada? calificaciones
¿Me pueden dar una constancia de promedio?,calificaciones,"Sí, puedes solicitar una constancia de promedio en servicios escolares. Necesitas tu credencial vigente y realizar el pago correspondiente.","¿Me pueden dar una constancia de promedio? Sí, puedes solicitar una constancia de promedio en servicios escolares. Necesitas tu credencial vigente y realizar el pago correspondiente.",¿Me pueden dar una constancia de promedio? calificaciones
¿Qué hacer si tengo nota incompleta?,calificaciones,Una nota incompleta se asigna cuando el estudiante no termina alguna evaluación por causa justificada. Debes completarla en el plazo acordado con el docente.,¿Qué hacer si tengo nota incompleta? Una nota incompleta se asigna cuando el estudiante no termina alguna evaluación por causa justificada. Debes completarla en el plazo acordado con el docente.,¿Qué hacer si tengo nota incompleta? calificaciones
¿Cómo afecta la nota de participación en mi promedio?,calificaciones,"La participación puede representar entre el 10% y 20% de la nota final, dependiendo del criterio del profesor indicado en el plan de curso.","¿Cómo afecta la nota de participación en mi promedio? La participación puede representar entre el 10% y 20% de la nota final, dependiendo del criterio del profesor indicado en el plan de curso.",¿Cómo afecta la nota de participación en mi promedio? calificaciones
¿Qué documentos debo presentar si me reincorporo después de una baja?,matriculas,"Debes presentar una carta de reincorporación, tu historial académico y una copia de tu identificación vigente en servicios escolares.","¿Qué documentos debo presentar si me reincorporo después de una baja? Debes presentar una carta de reincorporación, tu historial académico y una copia de tu identificación vigente en servicios escolares.",¿Qué documentos debo presentar si me reincorporo después de una baja? matriculas
¿Puedo pagar solo una parte de la inscripción para asegurar mi cupo?,matriculas,"Sí, puedes pagar una cuota inicial según el plan de pagos autorizado por finanzas. Esto reserva temporalmente tu lugar.","¿Puedo pagar solo una parte de la inscripción para asegurar mi cupo? Sí, puedes pagar una cuota inicial según el plan de pagos autorizado por finanzas. Esto reserva temporalmente tu lugar.",¿Puedo pagar solo una parte de la inscripción para asegurar mi cupo? matriculas
¿Qué hago si me equivoqué al seleccionar una materia?,matriculas,Puedes corregirlo durante la primera semana de clases desde el portal estudiantil o solicitando apoyo en servicios escolares.,¿Qué hago si me equivoqué al seleccionar una materia? Puedes corregirlo durante la primera semana de clases desde el portal estudiantil o solicitando apoyo en servicios escolares.,¿Qué hago si me equivoqué al seleccionar una materia? matriculas
¿Puedo inscribirme aunque tenga una materia pendiente de validación?,matriculas,"Sí, puedes hacer una inscripción provisional mientras se resuelve el proceso de validación, pero quedará sujeta a aprobación final.","¿Puedo inscribirme aunque tenga una materia pendiente de validación? Sí, puedes hacer una inscripción provisional mientras se resuelve el proceso de validación, pero quedará sujeta a aprobación final.",¿Puedo inscribirme aunque tenga una materia pendiente de validación? matriculas
¿Es posible obtener un descuento por inscripción grupal?,matriculas,"No, actualmente no se aplican descuentos por inscripción grupal, pero puedes consultar convenios institucionales con beneficios.","¿Es posible obtener un descuento por inscripción grupal? No, actualmente no se aplican descuentos por inscripción grupal, pero puedes consultar convenios institucionales con beneficios.",¿Es posible obtener un descuento por inscripción grupal? matriculas
¿Puedo dejar mis pertenencias en un casillero por varios días?,instalaciones,No está permitido dejar objetos en los casilleros por más de un día. Estos deben vaciarse al finalizar la jornada para permitir el uso a otros estudiantes.,¿Puedo dejar mis pertenencias en un casillero por varios días? No está permitido dejar objetos en los casilleros por más de un día. Estos deben vaciarse al finalizar la jornada para permitir el uso a otros estudiantes.,¿Puedo dejar mis pertenencias en un casillero por varios días? instalaciones
¿Las aulas están equipadas con proyectores?,instalaciones,"Sí, la mayoría de las aulas cuentan con proyectores. Si no lo tienen, puedes solicitar uno en el centro de medios.","¿Las aulas están equipadas con proyectores? Sí, la mayoría de las aulas cuentan con proyectores. Si no lo tienen, puedes solicitar uno en el centro de medios.",¿Las aulas están equipadas con proyectores? instalaciones
¿Puedo usar el auditorio para presentar un proyecto?,instalaciones,"Sí, puedes solicitar el auditorio para eventos académicos a través de coordinación de extensión con al menos 5 días de anticipación.","¿Puedo usar el auditorio para presentar un proyecto? Sí, puedes solicitar el auditorio para eventos académicos a través de coordinación de extensión con al menos 5 días de anticipación.",¿Puedo usar el auditorio para presentar un proyecto? instalaciones
¿Qué espacios hay para comer dentro del campus?,instalaciones,"Hay cafeterías en los edificios B y D, además de zonas de descanso habilitadas con microondas y mesas comunes.","¿Qué espacios hay para comer dentro del campus? Hay cafeterías en los edificios B y D, además de zonas de descanso habilitadas con microondas y mesas comunes.",¿Qué espacios hay para comer dentro del campus? instalaciones
¿Existe una sala de lactancia en la institución?,instalaciones,"Sí, está ubicada en el edificio administrativo, primer piso. Puedes solicitar acceso presentando tu credencial institucional.","¿Existe una sala de lactancia en la institución? Sí, está ubicada en el edificio administrativo, primer piso. Puedes solicitar acceso presentando tu credencial institucional.",¿Existe una sala de lactancia en la institución? instalaciones
¿Puedo tomar clases en modalidad híbrida?,horarios,"Sí, algunas asignaturas ofrecen modalidad híbrida. Consulta la oferta en el portal estudiantil al momento de la inscripción.","¿Puedo tomar clases en modalidad híbrida? Sí, algunas asignaturas ofrecen modalidad híbrida. Consulta la oferta en el portal estudiantil al momento de la inscripción.",¿Puedo tomar clases en modalidad híbrida? horarios
¿Qué horario tiene el centro de atención psicológica?,horarios,Atiende de lunes a viernes de 9:00 AM a 5:00 PM con cita previa. Puedes agendar en línea o directamente en el módulo de bienestar estudiantil.,¿Qué horario tiene el centro de atención psicológica? Atiende de lunes a viernes de 9:00 AM a 5:00 PM con cita previa. Puedes agendar en línea o directamente en el módulo de bienestar estudiantil.,¿Qué horario tiene el centro de atención psicológica? horarios
¿Las actividades deportivas tienen horario fijo?,horarios,"Sí, los entrenamientos se programan de lunes a viernes por la tarde. Consulta horarios específicos con la coordinación deportiva.","¿Las actividades deportivas tienen horario fijo? Sí, los entrenamientos se programan de lunes a viernes por la tarde. Consulta horarios específicos con la coordinación deportiva.",¿Las actividades deportivas tienen horario fijo? horarios
¿Cuál es el mejor momento para realizar trámites administrativos?,horarios,Se recomienda acudir entre las 9:00 y las 11:00 AM para evitar filas. El horario general es de 8:00 AM a 2:00 PM y 3:00 PM a 6:00 PM.,¿Cuál es el mejor momento para realizar trámites administrativos? Se recomienda acudir entre las 9:00 y las 11:00 AM para evitar filas. El horario general es de 8:00 AM a 2:00 PM y 3:00 PM a 6:00 PM.,¿Cuál es el mejor momento para realizar trámites administrativos? horarios
¿Puedo solicitar ajuste de horario por razones laborales?,horarios,"Sí, presenta una carta laboral y coordina el ajuste con tu tutor académico y coordinación de carrera. Está sujeto a validación y disponibilidad.","¿Puedo solicitar ajuste de horario por razones laborales? Sí, presenta una carta laboral y coordina el ajuste con tu tutor académico y coordinación de carrera. Está sujeto a validación y disponibilidad.",¿Puedo solicitar ajuste de horario por razones laborales? horarios
¿Cómo puedo obtener una constancia de egreso?,tramites,Solicítala en servicios escolares con tu credencial y comprobante de no adeudo. El documento se entrega en 3 días hábiles.,¿Cómo puedo obtener una constancia de egreso? Solicítala en servicios escolares con tu credencial y comprobante de no adeudo. El documento se entrega en 3 días hábiles.,¿Cómo puedo obtener una constancia de egreso? tramites
¿Dónde gestiono mi número de NSS para el seguro?,tramites,Puedes gestionarlo en línea desde el portal del IMSS o asistir al módulo de servicios estudiantiles con tu CURP y comprobante de domicilio.,¿Dónde gestiono mi número de NSS para el seguro? Puedes gestionarlo en línea desde el portal del IMSS o asistir al módulo de servicios estudiantiles con tu CURP y comprobante de domicilio.,¿Dónde gestiono mi número de NSS para el seguro? tramites
¿Puedo autorizar a alguien más a recoger mi historial académico?,tramites,"Sí, mediante carta poder simple firmada por ti, copia de tu identificación y la de quien recoge el documento.","¿Puedo autorizar a alguien más a recoger mi historial académico? Sí, mediante carta poder simple firmada por ti, copia de tu identificación y la de quien recoge el documento.",¿Puedo autorizar a alguien más a recoger mi historial académico? tramites
¿Cómo solicito un duplicado del certificado de bachillerato?,tramites,"Debes acudir a servicios escolares, llenar un formato de solicitud y presentar una copia del certificado original si está disponible.","¿Cómo solicito un duplicado del certificado de bachillerato? Debes acudir a servicios escolares, llenar un formato de solicitud y presentar una copia del certificado original si está disponible.",¿Cómo solicito un duplicado del certificado de bachillerato? tramites
¿Puedo cancelar un trámite ya solicitado?,tramites,Depende del tipo de trámite. Consulta directamente en servicios escolares lo antes posible para verificar el estado del proceso.,¿Puedo cancelar un trámite ya solicitado? Depende del tipo de trámite. Consulta directamente en servicios escolares lo antes posible para verificar el estado del proceso.,¿Puedo cancelar un trámite ya solicitado? tramites
¿Qué pasa si no entrego el proyecto de titulación a tiempo?,requisitos,Deberás reprogramar tu defensa y perderás la fecha asignada. Esto puede retrasar tu proceso de titulación hasta el siguiente periodo.,¿Qué pasa si no entrego el proyecto de titulación a tiempo? Deberás reprogramar tu defensa y perderás la fecha asignada. Esto puede retrasar tu proceso de titulación hasta el siguiente periodo.,¿Qué pasa si no entrego el proyecto de titulación a tiempo? requisitos
¿Cuántas horas de prácticas necesito para titularme?,requisitos,Debes completar al menos 240 horas de prácticas profesionales en una empresa avalada por la universidad.,¿Cuántas horas de prácticas necesito para titularme? Debes completar al menos 240 horas de prácticas profesionales en una empresa avalada por la universidad.,¿Cuántas horas de prácticas necesito para titularme? requisitos
¿Puedo titularme por experiencia laboral?,requisitos,"Sí, si cuentas con al menos 2 años de experiencia relevante, puedes aplicar para esta modalidad. Debes presentar evidencias y una carta de tu empleador.","¿Puedo titularme por experiencia laboral? Sí, si cuentas con al menos 2 años de experiencia relevante, puedes aplicar para esta modalidad. Debes presentar evidencias y una carta de tu empleador.",¿Puedo titularme por experiencia laboral? requisitos
¿Cuáles son los pasos para titularme por promedio?,requisitos,"Debes tener promedio igual o superior a 4.5, sin materias reprobadas, y completar el curso de inducción a la titulación.","¿Cuáles son los pasos para titularme por promedio? Debes tener promedio igual o superior a 4.5, sin materias reprobadas, y completar el curso de inducción a la titulación.",¿Cuáles son los pasos para titularme por promedio? requisitos
¿Qué requisitos hay para ingresar a la ceremonia de grado?,requisitos,"Debes haber completado todos los requisitos de titulación, no tener adeudos y confirmar tu asistencia en la oficina de egresados.","¿Qué requisitos hay para ingresar a la ceremonia de grado? Debes haber completado todos los requisitos de titulación, no tener adeudos y confirmar tu asistencia en la oficina de egresados.",¿Qué requisitos hay para ingresar a la ceremonia de grado? requisitos
¿Dónde puedo ver mi promedio acumulado?,calificaciones,Tu promedio acumulado está disponible en la sección 'Historial académico' del portal estudiantil.,¿Dónde puedo ver mi promedio acumulado? Tu promedio acumulado está disponible en la sección 'Historial académico' del portal estudiantil.,¿Dónde puedo ver mi promedio acumulado? calificaciones
¿Qué significa tener una nota en observación?,calificaciones,Significa que la calificación está bajo revisión por parte del docente o el comité académico. Se actualizará cuando se resuelva la observación.,¿Qué significa tener una nota en observación? Significa que la calificación está bajo revisión por parte del docente o el comité académico. Se actualizará cuando se resuelva la observación.,¿Qué significa tener una nota en observación? calificaciones
¿Las calificaciones se pueden apelar?,calificaciones,"Sí, puedes apelar una calificación formalmente dentro de los 3 días hábiles posteriores a su publicación.","¿Las calificaciones se pueden apelar? Sí, puedes apelar una calificación formalmente dentro de los 3 días hábiles posteriores a su publicación.",¿Las calificaciones se pueden apelar? calificaciones
¿Qué nota necesito para aprobar una materia con evaluación acumulativa?,calificaciones,"Debes tener al menos 60 puntos sobre 100 entre parciales, talleres y examen final, según los criterios del curso.","¿Qué nota necesito para aprobar una materia con evaluación acumulativa? Debes tener al menos 60 puntos sobre 100 entre parciales, talleres y examen final, según los criterios del curso.",¿Qué nota necesito para aprobar una materia con evaluación acumulativa? calificaciones
¿Cómo se ponderan las calificaciones por semestre?,calificaciones,Cada materia tiene un peso según sus créditos. El promedio semestral es el promedio ponderado de esas calificaciones.,¿Cómo se ponderan las calificaciones por semestre? Cada materia tiene un peso según sus créditos. El promedio semestral es el promedio ponderado de esas calificaciones.,¿Cómo se ponderan las calificaciones por semestre? calificaciones
¿Qué significa estar en baja académica?,matriculas,Significa que no cumpliste con el promedio mínimo requerido. Necesitarás autorización especial para reinscribirte el siguiente semestre.,¿Qué significa estar en baja académica? Significa que no cumpliste con el promedio mínimo requerido. Necesitarás autorización especial para reinscribirte el siguiente semestre.,¿Qué significa estar en baja académica? matriculas
¿Qué pasa si intento inscribirme fuera del horario establecido?,matriculas,El sistema bloqueará el acceso y deberás esperar al siguiente periodo o solicitar una inscripción extemporánea con justificante.,¿Qué pasa si intento inscribirme fuera del horario establecido? El sistema bloqueará el acceso y deberás esperar al siguiente periodo o solicitar una inscripción extemporánea con justificante.,¿Qué pasa si intento inscribirme fuera del horario establecido? matriculas
¿La reinscripción es automática si pagué a tiempo?,matriculas,"No, debes completar todo el proceso en el portal. El pago solo garantiza acceso al sistema, no la selección de materias.","¿La reinscripción es automática si pagué a tiempo? No, debes completar todo el proceso en el portal. El pago solo garantiza acceso al sistema, no la selección de materias.",¿La reinscripción es automática si pagué a tiempo? matriculas
